period,region,issuer_group,fiscal_revenue,land_transfer_revenue,bond_issuance,repayment,net_financing,weighted_yield,benchmark_yield,remaining_maturity,turnover,implied_rating
2024-06,Fujian,A,520,180,96,70,26,3.15,2.35,3.2,0.42,AA+
2024-07,Fujian,A,525,165,88,92,-4,3.28,2.38,3.1,0.39,AA+
2024-08,Fujian,A,531,152,110,84,26,3.34,2.41,3.4,0.36,AA+
2024-06,Hefei,B,410,140,75,60,15,3.42,2.35,2.8,0.31,AA
2024-07,Hefei,B,418,128,70,78,-8,3.58,2.38,2.7,0.28,AA
2024-08,Hefei,B,423,120,82,68,14,3.63,2.41,2.9,0.25,AA
2024-06,Anonymized-City,C,360,96,62,50,12,3.82,2.35,2.4,0.22,AA-
2024-07,Anonymized-City,C,365,90,58,72,-14,3.95,2.38,2.3,0.20,AA-
2024-08,Anonymized-City,C,371,82,64,55,9,4.02,2.41,2.5,0.18,AA-

